HARGA,LT,LB,JKT,JKM,GRS
39875000000,1362.5,1000,5,5,1
6500000000,266.0,350,4,4,1
2500000000,200.0,120,3,3,1
22000000000,754.0,500,4,4,1
22000000000,888.0,450,4,3,1
5100000000,120.0,210,4,3,0
9200000000,231.0,389,3,3,1
36000000000,1200.0,850,5,4,0
7900000000,205.0,357,4,4,0
5800000000,250.0,350,4,4,1
11000000000,230.0,350,4,4,1
4900000000,340.0,210,3,2,1
23000000000,806.0,700,4,4,1
17000000000,440.0,350,4,4,1
8200000000,188.0,330,3,3,1
9500000000,251.0,295,4,4,1
6500000000,266.0,350,4,3,1
27000000000,900.0,400,4,3,1
16500000000,600.0,400,7,4,1
35000000000,1362.5,800,4,4,0
6200000000,142.0,311,3,2,1
15000000000,912.0,484,6,3,1
9500000000,251.0,295,4,4,1
23000000000,806.0,700,4,4,1
7370000000,211.0,465,4,4,1
19500000000,850.0,750,3,2,1
5800000000,122.0,289,3,3,1
33000000000,1100.0,800,5,5,1
22500000000,500.0,536,5,5,1
4200000000,110.0,165,4,3,1
16950000000,387.0,250,1,1,1
13000000000,616.0,650,4,4,1
18000000000,670.0,385,4,4,1
7000000000,140.0,215,4,4,1
5000000000,234.0,350,4,4,1
38500000000,1362.5,550,8,5,1
15000000000,395.0,420,4,4,1
13500000000,230.0,400,3,2,1
13000000000,372.0,450,4,4,1
8500000000,250.0,400,4,4,1
17000000000,786.0,1000,6,7,0
39875000000,1350.0,750,5,5,1
13000000000,235.0,623,4,4,0
22000000000,1000.0,800,5,4,0
9950000000,212.0,300,4,3,1
12500000000,512.0,350,3,3,1
16000000000,578.0,500,5,4,1
22600000000,754.0,500,4,4,1
39875000000,1362.5,1000,5,4,1
30000000000,1100.0,500,4,4,1
20000000000,897.0,450,4,4,1
15000000000,733.0,140,2,2,1
19000000000,435.0,500,4,4,1
8700000000,229.0,327,4,3,1
25000000000,670.0,671,4,4,0
19000000000,520.0,600,4,4,0
35000000000,900.0,800,7,5,1
18000000000,677.0,450,4,3,0
15000000000,415.0,150,3,2,1
9500000000,350.0,460,6,5,1
25500000000,1020.0,816,5,3,0
16000000000,1095.0,450,3,4,1
15000000000,940.0,320,2,2,1
22000000000,824.0,600,7,4,1
6900000000,243.0,260,4,4,1
20000000000,429.0,499,4,4,1
39875000000,1362.5,900,9,9,1
39875000000,1362.5,542,6,8,1
10800000000,472.0,650,6,3,1
39875000000,1362.5,1050,7,7,1
14400000000,474.0,455,3,4,1
39875000000,1362.5,542,6,8,0
9500000000,278.0,400,3,2,1
19000000000,430.0,500,4,5,1
39875000000,973.0,1050,4,4,1
39875000000,1362.5,1050,4,4,1
19500000000,834.0,780,6,3,0
17000000000,392.0,450,4,4,1
16000000000,1095.0,450,3,4,1
13000000000,407.0,850,4,4,1
21000000000,817.0,500,4,3,0
19000000000,800.0,500,5,4,1
1880000000,90.0,135,3,3,1
5100000000,140.0,250,3,2,0
12000000000,572.0,432,5,6,1
8000000000,350.0,350,5,5,1
17000000000,389.0,450,7,4,1
39875000000,943.0,600,7,4,1
6000000000,144.0,250,4,3,1
12000000000,230.0,300,5,4,1
17000000000,470.0,660,4,4,1
10500000000,220.0,325,4,3,1
950000000,50.0,80,3,2,0
9500000000,462.0,350,3,3,1
19000000000,358.0,500,4,5,1
25500000000,1020.0,816,4,4,1
2800000000,70.0,125,3,3,0
18500000000,358.0,500,4,4,1
22000000000,780.0,580,4,4,0
5500000000,150.0,210,4,4,1
10500000000,500.0,700,4,4,1
17000000000,465.0,640,4,5,1
5680000000,151.0,245,3,3,1
15000000000,400.0,800,4,4,0
13500000000,615.0,500,4,5,0
4800000000,200.0,260,5,7,0
14000000000,350.0,250,3,3,1
19000000000,520.0,500,5,5,0
17000000000,389.0,450,4,4,1
13500000000,1034.0,900,6,5,1
8500000000,307.0,400,7,6,0
9500000000,458.0,300,5,4,1
39875000000,1050.0,800,27,21,1
18000000000,900.0,500,4,4,1
6700000000,285.0,258,4,4,0
37500000000,680.0,1050,6,5,1
26000000000,600.0,450,4,4,1
15000000000,500.0,1000,5,5,1
33000000000,585.0,900,7,6,1
8500000000,250.0,300,4,4,1
22000000000,900.0,1050,4,3,1
7900000000,220.0,300,3,3,1
11160000000,248.0,333,4,4,1
19500000000,443.0,450,5,3,0
10000000000,475.0,600,5,5,0
1100000000,59.0,80,3,2,1
7190000000,207.0,245,3,3,1
9000000000,200.0,300,5,4,1
5700000000,144.0,325,3,3,1
36000000000,1300.0,850,5,4,0
17000000000,663.0,530,5,4,1
23000000000,650.0,600,5,5,0
1140000000,60.0,60,3,2,0
12500000000,512.0,350,3,3,1
16000000000,587.0,350,4,3,1
5800000000,144.0,285,4,3,0
17000000000,536.0,900,7,2,1
14000000000,464.0,360,4,3,0
17500000000,518.0,450,5,7,1
26000000000,900.0,500,7,4,0
11500000000,547.0,500,4,3,1
19000000000,800.0,500,5,3,0
19000000000,800.0,500,5,4,1
3600000000,164.0,150,4,4,1
5300000000,90.0,205,3,3,1
11000000000,436.0,300,6,5,0
6620000000,135.0,225,5,4,0
5500000000,164.0,240,4,3,1
19800000000,1039.0,430,5,4,0
39875000000,1362.5,712,3,4,0
10000000000,395.0,450,5,5,1
6500000000,124.0,300,3,3,1
6800000000,145.0,330,4,1,1
9000000000,450.0,700,4,4,0
4500000000,240.0,355,4,3,1
24500000000,876.0,600,8,5,0
5800000000,144.0,325,3,3,1
10500000000,500.0,700,4,4,1
15500000000,440.0,350,6,4,0
7000000000,272.0,310,5,3,1
14500000000,600.0,643,5,5,1
5500000000,150.0,210,4,4,1
17000000000,670.0,800,5,5,1
18500000000,443.0,450,5,5,1
4400000000,236.0,158,6,4,0
14000000000,460.0,400,4,3,1
19800000000,1039.0,430,5,3,1
6800000000,253.0,380,4,3,1
14000000000,460.0,400,4,4,0
9550000000,251.0,288,3,4,1
4600000000,123.0,190,3,3,1
19000000000,358.0,500,5,5,1
5800000000,128.0,148,3,3,1
7000000000,291.0,210,4,3,1
21500000000,788.0,400,4,3,0
38000000000,900.0,422,4,3,1
5900000000,160.0,176,4,3,0
15000000000,600.0,450,5,4,0
14900000000,700.0,500,4,3,1
16000000000,587.0,350,4,3,1
21000000000,1180.0,550,5,4,1
9500000000,330.0,450,5,2,1
8500000000,400.0,280,3,3,0
14000000000,580.0,500,6,4,1
26000000000,600.0,450,4,4,1
13000000000,330.0,430,5,4,1
8600000000,246.0,350,3,3,0
7000000000,194.0,229,5,4,1
18000000000,800.0,600,5,5,1
5500000000,214.0,245,4,2,0
39875000000,1000.0,600,27,27,1
13500000000,250.0,350,5,4,1
36000000000,1300.0,850,5,5,1
